category_title       ,price,characteristic_1,characteristic_2,characteristic_3,characteristic_4,characteristic_5,characteristic_6,characteristic_7,characteristic_8,characteristic_9,characteristic_10,flag
commodo placerat     ,3    ,$2.35B          ,$13.34M         ,$384.71M        ,$14.58M         ,$818.25M        ,$811.57M        ,$130.34M        ,$7.93B          ,$107.61M        ,n/a              ,true
nunc                 ,48   ,$136.26M        ,$407.51M        ,$19.89B         ,$12.81M         ,$1.06B          ,$3.46B          ,$45.09M         ,$887.04M        ,$33.43M         ,                 ,true
rutrum nulla         ,37   ,$1.66B          ,$4.61B          ,$129.98M        ,$5.21B          ,$116.91M        ,$882.18M        ,$12.86B         ,$626.7M         ,$375.06M        ,n/a              ,false
nisl                 ,36   ,$188.59M        ,$411.13M        ,$96.2M          ,$1.38B          ,$548.36M        ,$408.18M        ,$2.05B          ,$480.69M        ,$71.88M         ,$55.69B          ,true
non mauris           ,12   ,$580.97M        ,$600.56M        ,$28.43B         ,n/a             ,$94.05M         ,n/a             ,$198.85M        ,$34.86M         ,n/a             ,n/a              ,true
tellus               ,41   ,n/a             ,$47.06M         ,$6.15B          ,$8.64B          ,$180.82M        ,$629.83M        ,$438.82M        ,n/a             ,$542.42M        ,$1.36B           ,false
turpis               ,48   ,$20.66M         ,$43.29B         ,$478.23M        ,$78.51B         ,$254.84M        ,n/a             ,$359.34M        ,$3.77B          ,$1.66B          ,$30.65M          ,true
nibh                 ,77   ,$2.4B           ,$1.82B          ,$89.33M         ,n/a             ,$150.43M        ,n/a             ,$2.14B          ,n/a             ,$94.92M         ,$421.64M         ,false
dapibus duis         ,80   ,$361.9M         ,$1.59B          ,$21.39B         ,$4.72B          ,$3.36B          ,$4.56B          ,$61.73M         ,$47.9B          ,$6.29B          ,$19.34B          ,true
ante                 ,1    ,$807.79M        ,$893.94M        ,$1.21B          ,$92.25M         ,$103.8M         ,$854.52M        ,$207.26M        ,$655.59M        ,$10.53B         ,$21.56M          ,true
aliquam quis         ,21   ,n/a             ,$355.28M        ,$394.2M         ,$1.12B          ,n/a             ,$613.79M        ,n/a             ,$4.75B          ,$1.19B          ,$79.04M          ,false
dictumst morbi       ,19   ,n/a             ,$3.68B          ,n/a             ,$475.23M        ,$804.76M        ,$5.29B          ,$330M           ,n/a             ,$83.95B         ,$6.29M           ,true
in                   ,20   ,n/a             ,$3.95B          ,$52.7B          ,$165.72M        ,$1.73B          ,$2.64B          ,$121.38M        ,$2.03B          ,n/a             ,n/a              ,true
curabitur            ,1    ,$4.18B          ,$2.38B          ,n/a             ,$276.21M        ,$2.24B          ,$108.91M        ,$1.99B          ,$84.47M         ,$84.27M         ,n/a              ,true
rhoncus              ,39   ,$1.05B          ,$4.84B          ,$5.44B          ,$70.95M         ,$174.42M        ,n/a             ,$13.92B         ,n/a             ,$63.6M          ,$2.92B           ,false
varius integer       ,42   ,$169.37M        ,$3.07B          ,$1.99B          ,$424.11M        ,$540.44B        ,$5.97B          ,$2.22B          ,$793.18M        ,$6.47M          ,$75.19B          ,false
in faucibus          ,90   ,$16.68B         ,$1.31B          ,$1.88B          ,$233.17B        ,$7.87M          ,                ,$37.92B         ,$10.5B          ,$4.19B          ,n/a              ,false
quisque              ,10   ,$229.43M        ,$799.91M        ,$626.98M        ,$165.8B         ,$498.3M         ,$1.11B          ,n/a             ,n/a             ,$3.43B          ,$8.33M           ,true
ligula               ,33   ,n/a             ,$1.29B          ,$4.55B          ,$11.94B         ,$582.07M        ,$5.32B          ,$2.72B          ,n/a             ,$71.11M         ,$21.8M           ,false
in faucibus          ,20   ,$5.21B          ,$14.27B         ,$49M            ,$5.41B          ,$6.57B          ,$1.05B          ,n/a             ,n/a             ,$9.06B          ,$55.73B          ,true
dis parturient       ,58   ,n/a             ,$2.57B          ,$1.59B          ,$261.62M        ,$741.77B        ,$252.83M        ,$45.01M         ,$197.24M        ,$158.76M        ,                 ,true
orci luctus          ,60   ,$596.2M         ,n/a             ,$48.54M         ,$10.19B         ,$5.15B          ,$6.97B          ,$42.87B         ,$10.84B         ,n/a             ,                 ,false
ut                   ,49   ,$52.17M         ,$12.31M         ,$4.5M           ,n/a             ,$2.36B          ,$710.19M        ,$4.63B          ,$3.81B          ,n/a             ,$446M            ,false
nulla quisque        ,32   ,n/a             ,$141.43M        ,$223.07M        ,$337.68M        ,$192.45M        ,$39.48B         ,$262.86M        ,$75.98M         ,$643.63M        ,$2.77B           ,true
turpis               ,41   ,$6.08M          ,$561.02M        ,$94.88B         ,$742.65M        ,$4.08B          ,n/a             ,n/a             ,$1.39B          ,$8.51B          ,$288.75M         ,true
praesent blandit     ,42   ,$556.3M         ,$580.2M         ,$288.2M         ,n/a             ,$37.14B         ,                ,$59.33M         ,$1.68B          ,$1.56B          ,                 ,false
cras                 ,24   ,$417.48M        ,$61.14B         ,$138.36M        ,$324.08M        ,$3.77B          ,$328.94M        ,n/a             ,n/a             ,$8.33M          ,                 ,false
maecenas leo         ,8    ,$116.83M        ,$642.98M        ,n/a             ,n/a             ,n/a             ,$3.31B          ,$2.76B          ,n/a             ,$252.5M         ,n/a              ,false
vestibulum           ,65   ,$2.16B          ,$8.25B          ,$1.61B          ,$885.73M        ,$34.35B         ,n/a             ,$261.62M        ,$61.92B         ,$514M           ,$14.46B          ,true
sed augue            ,34   ,$428.38M        ,$71.22M         ,n/a             ,$12.59B         ,$6.56B          ,                ,n/a             ,$555.38M        ,$2.47B          ,$203.22M         ,false
elit ac              ,70   ,$71.3M          ,$5.05M          ,$1.69B          ,$303.87M        ,$128.99M        ,$3.24B          ,$861.13M        ,$818.25M        ,$324.21M        ,$37.04B          ,true
volutpat sapien      ,23   ,$41.59M         ,$1.59B          ,$161.77M        ,$1.09B          ,$4.19B          ,                ,$136.02M        ,$32.74M         ,$797.33M        ,$145.49M         ,false
tincidunt            ,2    ,n/a             ,n/a             ,$5.53B          ,$115.2M         ,$1.48B          ,$13.71B         ,$938.83M        ,$195.63M        ,$4.42B          ,$3.79B           ,false
mus vivamus          ,97   ,$137.47M        ,$291.31M        ,n/a             ,$36.94M         ,$3.97B          ,$57.72M         ,$122.88M        ,$296.86M        ,n/a             ,$4.14B           ,true
mauris               ,70   ,$6.68M          ,$40.94M         ,$3B             ,$1.09B          ,$1.28B          ,n/a             ,n/a             ,$877.03M        ,$4.57B          ,$229.43M         ,false
magna                ,63   ,$152.9M         ,$804.88M        ,n/a             ,$1.93B          ,$872.35M        ,$10.53B         ,$934.3M         ,$249.26M        ,$721.4M         ,n/a              ,false
sodales              ,49   ,$17.26B         ,$8.56B          ,$759.26M        ,$5.79B          ,$3.2B           ,n/a             ,$6.9B           ,$875.69M        ,n/a             ,$380.1M          ,false
rhoncus aliquet      ,95   ,$535.95M        ,$57.31M         ,$2.73B          ,$1.01B          ,$6.65M          ,$54.9M          ,$959.07M        ,$204.47M        ,$1.16B          ,n/a              ,false
cubilia curae        ,47   ,$25.31B         ,$6.99B          ,$3.75B          ,n/a             ,n/a             ,$1.07B          ,$5.79M          ,$321.8M         ,$279.5M         ,$73.95M          ,false
vel                  ,3    ,n/a             ,n/a             ,$173.59M        ,$1.3B           ,n/a             ,$7.18M          ,$1.73B          ,$208.93M        ,$151.51M        ,$199.67M         ,false
lacinia erat         ,41   ,$1.72B          ,$1.02B          ,$40.93M         ,$178.86M        ,$510.83M        ,$4.09B          ,$112.63M        ,n/a             ,$1.55B          ,$79.68M          ,true
morbi                ,5    ,$462.92M        ,n/a             ,$396.21M        ,$9.73M          ,n/a             ,$1.05B          ,$157.69B        ,n/a             ,$3.39B          ,$84.95M          ,false
leo                  ,67   ,$8.61M          ,$517.44M        ,$64.56M         ,$136.4M         ,$288.75M        ,$3.27B          ,n/a             ,$63.95M         ,$513.83M        ,$676.91M         ,false
integer              ,81   ,$555.7M         ,$210.14M        ,$1.23B          ,$262.72M        ,n/a             ,n/a             ,$8.33M          ,$2.45B          ,$176.73M        ,$316.8M          ,false
donec                ,95   ,$1.7B           ,$305.6M         ,$68.47M         ,$78.45M         ,$102.4M         ,$52.17M         ,$7.2B           ,$1.23B          ,$3B             ,$243.18M         ,true
a pede               ,58   ,$450.72M        ,$4.75B          ,$59.28B         ,n/a             ,$353.6M         ,                ,n/a             ,$315.81M        ,$278.18M        ,$766.44M         ,false
donec                ,56   ,$175.49M        ,$1.6B           ,n/a             ,$204.1M         ,$4.59B          ,$2.45B          ,n/a             ,$96.78M         ,$15.92B         ,$979.51M         ,true
turpis adipiscing    ,25   ,n/a             ,n/a             ,$294.48M        ,$483.16M        ,$446M           ,$432.95M        ,$80.86M         ,$1.94B          ,$251.83B        ,$2.86B           ,false
in                   ,94   ,$6.3B           ,$24M            ,$3.11B          ,$24.17B         ,$6.68M          ,$3.49B          ,$480.47M        ,$8.17B          ,$1.03B          ,                 ,true
vitae quam           ,23   ,$2.21M          ,$26.03M         ,$1.04B          ,$5.14B          ,n/a             ,                ,n/a             ,$420.7M         ,$1.02B          ,$12.87B          ,false
erat                 ,27   ,$505.61M        ,n/a             ,$3.68B          ,n/a             ,$2.83B          ,$468.42M        ,$316.82M        ,$212.14M        ,n/a             ,$9.21B           ,false
id nulla             ,59   ,$18.8B          ,$4.08B          ,$293.39M        ,$3.85M          ,$94.54M         ,$633.57M        ,$3.18B          ,$1.88B          ,$1.95B          ,$442.25M         ,false
elit sodales         ,15   ,$13.26B         ,$165.47M        ,$674.56M        ,$172.67M        ,$12.73M         ,$165.3M         ,$3.65B          ,n/a             ,$33.57M         ,$187.49M         ,true
quam                 ,2    ,$2.28B          ,$277.12M        ,$101.69M        ,$2.81B          ,$725.53M        ,$50.77B         ,$577.43M        ,$66.09M         ,$145.96M        ,$5.56B           ,true
id turpis            ,80   ,$110.17M        ,$353.91M        ,n/a             ,n/a             ,$29.11M         ,$1.06B          ,$5.6B           ,$14.79M         ,$49.79M         ,$620.68M         ,false
est                  ,28   ,$2.16B          ,n/a             ,$18.64M         ,$322.34M        ,$315.27M        ,$19.65M         ,n/a             ,$671.8M         ,$10.45B         ,                 ,false
odio cras            ,48   ,$288.6M         ,$5.34M          ,n/a             ,$22.79M         ,$2.52B          ,n/a             ,$16.82M         ,$67.4B          ,$8.42B          ,$233.13M         ,false
nulla                ,36   ,$47.9M          ,$2.43B          ,$947.69M        ,$650.09B        ,$133.56M        ,n/a             ,$200.65M        ,$58.51M         ,$8.63B          ,n/a              ,true
vulputate nonummy    ,19   ,n/a             ,$40.17M         ,n/a             ,$3.61B          ,$9.57M          ,n/a             ,$1.05B          ,$608.57M        ,$594.95M        ,n/a              ,true
mattis egestas       ,3    ,$53.58M         ,n/a             ,$290.46M        ,$7.43B          ,n/a             ,$56.08B         ,$548.05M        ,$38.18M         ,$2.58B          ,$39.13B          ,true
ridiculus mus        ,86   ,$11.63M         ,$32.9B          ,$1.26B          ,$95.78M         ,$4.88B          ,$286.36M        ,$532.95M        ,$1.64B          ,$50.2B          ,                 ,false
eget tincidunt       ,85   ,$1.39B          ,n/a             ,$17.43B         ,$1.99B          ,$344.13M        ,$6.83B          ,$209.5M         ,$136.01M        ,$146.67M        ,$2.76B           ,false
bibendum             ,95   ,$1.28B          ,$844.88M        ,$25.39M         ,$508.59M        ,$195.09M        ,$5.08B          ,$4.88B          ,$95.04M         ,$50.64M         ,$1.9B            ,true
sapien               ,45   ,$1.32B          ,n/a             ,$47.27B         ,$605.76M        ,$1.79B          ,n/a             ,$61.72M         ,$446.85M        ,n/a             ,$277.82M         ,false
ante                 ,21   ,$92.25M         ,n/a             ,$27.15B         ,$484.41M        ,$46.3B          ,$97.01M         ,n/a             ,$517.81M        ,$280.36M        ,$392.95M         ,true
in eleifend          ,4    ,$1.38B          ,$3.73B          ,$38.19M         ,$349.22M        ,$71.5B          ,$56.46M         ,$25.91B         ,$276.48M        ,$14.44B         ,$1.06B           ,false
lacus                ,75   ,$289.76M        ,$264.23M        ,$1.84B          ,n/a             ,$349.29M        ,n/a             ,$197.85M        ,$174.89M        ,$1.25B          ,$6.96B           ,true
nulla                ,83   ,$5.69M          ,$3.17B          ,$4.72B          ,$7.17B          ,$108.91M        ,$5.53B          ,n/a             ,$62.85M         ,$16.12M         ,$1.6B            ,false
bibendum             ,1    ,$6.36B          ,$41.23M         ,$38.27B         ,n/a             ,$885.73M        ,$89.88M         ,$99.64M         ,$392.38M        ,n/a             ,$3.79B           ,false
rhoncus aliquet      ,4    ,$2.49B          ,$390.46M        ,$298.66M        ,$43.94M         ,$1.99B          ,$353.6M         ,$60.18M         ,$1.4B           ,$10.06B         ,n/a              ,true
interdum mauris      ,8    ,$116.77M        ,$156.02B        ,$3.08B          ,$442.3M         ,$12.31M         ,$1.63B          ,n/a             ,$78.03B         ,$674.13M        ,$311.8M          ,false
magna                ,24   ,$79.48M         ,$51.15M         ,$16.06B         ,$21.55M         ,$213.57M        ,$257.87M        ,$7.49B          ,$911.47M        ,$6.83B          ,                 ,true
ac leo               ,60   ,$69.38M         ,$1.38B          ,n/a             ,n/a             ,$288.2M         ,n/a             ,$529.59M        ,n/a             ,$6.89B          ,$3.63B           ,true
erat                 ,93   ,n/a             ,$354.29M        ,$258.42M        ,$463.67M        ,n/a             ,$415.83M        ,$705.42M        ,$123.2M         ,$82.91M         ,$506.48M         ,true
viverra              ,8    ,$54.29M         ,$983.79M        ,$741.31M        ,$21.61B         ,$19.42M         ,$59.21M         ,$975.72M        ,$189.2M         ,$10.79B         ,$162.72M         ,false
rhoncus              ,65   ,$1.13B          ,n/a             ,$658.44M        ,$9.14M          ,$3.28B          ,$1.55B          ,$3.23B          ,$386.58M        ,n/a             ,$1.14B           ,true
tellus nulla         ,33   ,$631.93M        ,$4.61B          ,$2.05B          ,$9.01M          ,$554.47M        ,$126.74M        ,$162.03M        ,$738.7M         ,$4.19B          ,$133.56M         ,false
eu                   ,76   ,$18.78M         ,$162.11M        ,$1.29B          ,$1.2B           ,$695.1M         ,$2.89B          ,$663.3M         ,$292.85M        ,$389.82M        ,$231.87M         ,true
leo odio             ,43   ,$1.72B          ,$144.44M        ,$22.49B         ,n/a             ,n/a             ,$760.1M         ,n/a             ,$54.95M         ,$53.98B         ,$1.48B           ,true
vestibulum sed       ,47   ,$79.48M         ,$112.34M        ,$107.75B        ,$2.32B          ,$3.09M          ,$1.86B          ,$123.34B        ,n/a             ,$11.3B          ,$1.06B           ,false
integer              ,13   ,n/a             ,$53.99M         ,$5.53B          ,$7.36M          ,$907.67M        ,$9.9M           ,n/a             ,$20.34B         ,$677.17M        ,$673.15M         ,false
augue                ,69   ,n/a             ,$63.94M         ,$11.13B         ,$503.27M        ,$71.11M         ,$25.34B         ,n/a             ,$34.79M         ,$63.94M         ,$56.31M          ,false
ut at                ,53   ,$28.55M         ,$4.51B          ,$362.28M        ,$411.46M        ,$8.92B          ,$76.6B          ,$1.28B          ,$157.67M        ,$35.74B         ,                 ,true
nulla sed            ,98   ,$18.36B         ,$18.84B         ,$359.34M        ,$356.99M        ,$386.58M        ,                ,n/a             ,$92.4M          ,$85.5M          ,$937.55M         ,false
id                   ,18   ,$107.46M        ,$1.79B          ,n/a             ,n/a             ,$4.14B          ,$61.57M         ,$2.17B          ,$265.68M        ,$1.5B           ,$104.02M         ,false
mauris lacinia       ,86   ,$8.75B          ,n/a             ,$3.52B          ,n/a             ,n/a             ,$596.2M         ,$3.79B          ,$143.33M        ,$12.47B         ,$836.36M         ,true
et eros              ,38   ,n/a             ,$14.5B          ,$88.58B         ,$2.3B           ,$168.26M        ,                ,$1.38B          ,$85.5M          ,$1.65B          ,$154.12M         ,true
blandit              ,84   ,$1.35B          ,$47.14B         ,$5.99B          ,$332.19M        ,$61.01B         ,$695.78M        ,n/a             ,$737.25M        ,$197.92M        ,n/a              ,true
lectus               ,80   ,$11.02B         ,$7.06B          ,n/a             ,$5.48B          ,$858.11M        ,$7.84M          ,$299.85M        ,$185.56M        ,n/a             ,$318.69M         ,true
ultrices aliquet     ,77   ,$43.25M         ,n/a             ,n/a             ,$147.15M        ,$264.23M        ,$788.64M        ,n/a             ,$2.71B          ,$2.57B          ,$146.67M         ,true
quis                 ,4    ,$296.89M        ,$268.64M        ,$158.76M        ,$192.68M        ,$1.51B          ,                ,$127.38M        ,$3.59B          ,$20.23B         ,                 ,true
odio odio            ,14   ,$688.3M         ,$92.98M         ,$42.87B         ,n/a             ,$7.6B           ,$33.54M         ,$1.64B          ,$907.67M        ,$6.65B          ,n/a              ,true
pretium              ,59   ,n/a             ,$1.21B          ,$775.3M         ,n/a             ,$21.14B         ,n/a             ,n/a             ,$155.4M         ,$437.06M        ,$420.47M         ,true
condimentum          ,56   ,n/a             ,$3.77B          ,$10.53B         ,$2.97M          ,$16.97B         ,$172.36M        ,$3.79B          ,$2.78B          ,$268.64M        ,$48.31M          ,true
parturient montes    ,21   ,$3.5B           ,$1.17B          ,$313.17M        ,n/a             ,$91.14M         ,$34.35B         ,$186.02B        ,$1.11B          ,$8.51B          ,$8.28B           ,true
rutrum               ,22   ,$702.5M         ,$6.97B          ,$1.05B          ,$11.67B         ,n/a             ,$1.73B          ,$2.88B          ,n/a             ,$1.22B          ,$60.36M          ,true
suspendisse          ,31   ,$1.14B          ,$2.49B          ,$57.51M         ,$717.59M        ,$909.02M        ,$96.09M         ,$6.48B          ,$47.56M         ,$3.1B           ,$1.31B           ,true
curabitur convallis  ,43   ,$109.52M        ,n/a             ,$1.48B          ,$51.49B         ,$1.21B          ,                ,$35.54M         ,$25.92M         ,$7.89B          ,$1.82B           ,true
eget tempus          ,47   ,$32.74M         ,$157.8M         ,$184.04M        ,$18.64M         ,$676.91M        ,$1.17B          ,$4.72B          ,$411.46M        ,$158.15B        ,$13.04M          ,true
eros vestibulum      ,66   ,$1.66B          ,$9.54B          ,n/a             ,n/a             ,$3.18B          ,$273.41M        ,$58.13M         ,$1.25B          ,n/a             ,$182.92M         ,true
vitae                ,9    ,$280.64M        ,$31.32M         ,$437.4M         ,$1.45B          ,n/a             ,$40.31M         ,$50.64M         ,$504.77M        ,$652.54M        ,$21.61B          ,true
erat nulla           ,40   ,n/a             ,n/a             ,$8.39B          ,n/a             ,$23.69B         ,$771.82M        ,$103.1B         ,$923.88M        ,$3.96B          ,$2.26B           ,false
augue                ,45   ,$145.96M        ,$3.63B          ,$536.16M        ,$11.65B         ,$8.98B          ,$31.1B          ,$11.67B         ,$4.23B          ,$2.33B          ,n/a              ,false
lorem                ,75   ,$14.44B         ,$420.27M        ,$54.29M         ,$1.1B           ,$1.18B          ,$951.53M        ,$209.48M        ,$1.3B           ,$280.33M        ,                 ,false
quam                 ,4    ,$47.7M          ,$438.67M        ,$8.29B          ,$631.55M        ,$390.46M        ,                ,$14.12B         ,$671.8M         ,$1.66B          ,$1.03B           ,false
et ultrices          ,34   ,n/a             ,$169.12M        ,n/a             ,$111.57M        ,$1.49B          ,                ,$2.81B          ,$21.87M         ,$743.07M        ,$403.94M         ,true
parturient           ,93   ,n/a             ,$1.15B          ,$130.19M        ,$312.06M        ,$1.83B          ,n/a             ,$2.71B          ,$4.82B          ,$41.81M         ,$1.11B           ,false
tempor turpis        ,16   ,n/a             ,$356.99M        ,$151.51M        ,$4.56B          ,$87.34B         ,$1.18B          ,$4.63B          ,$909.02M        ,$207.39M        ,$392.95M         ,true
suspendisse          ,10   ,$4.63M          ,n/a             ,$11.28M         ,$1.3B           ,n/a             ,$10.76M         ,$57.73M         ,$12.87B         ,$796.49M        ,n/a              ,false
vitae mattis         ,52   ,$20.83B         ,$1.9B           ,n/a             ,$21.4M          ,$145.49M        ,n/a             ,n/a             ,$724.86M        ,$2.08B          ,$2.03B           ,false
ipsum primis         ,85   ,n/a             ,n/a             ,n/a             ,$141.43M        ,$7.22B          ,$66.09M         ,$531.92M        ,$1.14B          ,n/a             ,$32.7M           ,false
erat nulla           ,85   ,$4.68B          ,$2.01B          ,$7.36B          ,$4.5M           ,$184.47M        ,$757.13M        ,n/a             ,$6.29M          ,$126.34M        ,$32.77B          ,false
integer              ,37   ,$1.53B          ,$24.59M         ,$200.93M        ,$107.22M        ,$2.24B          ,$1.16B          ,$38.25M         ,$1.69B          ,$2.28B          ,$14.17B          ,true
sapien               ,39   ,n/a             ,$1.5B           ,$167.24M        ,$5.1B           ,$305.47M        ,$2.18B          ,$8.82B          ,$1.07B          ,$719.35M        ,$21.18M          ,true
habitasse platea     ,2    ,$5.04B          ,$261.58M        ,$49.73M         ,$3.49M          ,$885.83M        ,                ,n/a             ,$11.51B         ,n/a             ,$2.81B           ,false
purus phasellus      ,54   ,$1.53B          ,n/a             ,$99.1M          ,$852.55M        ,$5.53B          ,$3.49B          ,$94.21M         ,$8.28B          ,$1.52B          ,$28.74M          ,false
leo pellentesque     ,90   ,$5.99B          ,n/a             ,n/a             ,$263.57M        ,$1.17B          ,                ,$77.63M         ,$115.2M         ,n/a             ,$2.15B           ,false
rhoncus              ,87   ,$1.38B          ,n/a             ,$212.14M        ,$269.2M         ,$1.1B           ,n/a             ,$263.57M        ,$145.93M        ,$6.31M          ,n/a              ,true
interdum             ,3    ,$1.14B          ,$650.09B        ,$1.05B          ,$956.82M        ,n/a             ,$4.63B          ,$20.87M         ,$56.05B         ,$782.98M        ,$295.19M         ,true
eu massa             ,82   ,$1.64B          ,$3.7B           ,$641.08M        ,$133.56M        ,$263.57M        ,$19.4B          ,$136.02M        ,$553.69M        ,$11.97B         ,n/a              ,false
feugiat non          ,55   ,$1.68B          ,$216.49M        ,$829.14M        ,n/a             ,$14.4B          ,$915.55M        ,$1.1B           ,$927.58M        ,$4.43B          ,$847.52M         ,false
ridiculus            ,82   ,$295.41M        ,$484.41M        ,$6.22B          ,$395.82M        ,$608.38M        ,n/a             ,$136.33M        ,$16.61M         ,$1.32B          ,$2.69B           ,true
imperdiet et         ,30   ,$1.67B          ,$1.91B          ,n/a             ,n/a             ,$73.43M         ,$225.24M        ,$51.07M         ,n/a             ,$116.77M        ,$2.71B           ,true
ligula               ,5    ,n/a             ,$6.01B          ,$1.88B          ,$1.45B          ,$21.03M         ,$11.21M         ,$2.41B          ,$6.25B          ,$46.9M          ,$431.69M         ,false
ut dolor             ,96   ,$6.2B           ,n/a             ,$610.37M        ,$534.86M        ,n/a             ,n/a             ,$120.57B        ,n/a             ,$3.33M          ,$449.92M         ,false
urna ut              ,32   ,$4.62B          ,$1B             ,n/a             ,$287.82M        ,$130.23M        ,$40.95M         ,n/a             ,$1.13B          ,$56.08B         ,$513.58M         ,true
turpis eget          ,95   ,$1.3B           ,$474.2M         ,n/a             ,$5.52B          ,$184.08M        ,$25.91B         ,$183.18B        ,$868.22M        ,$1.38B          ,$7.32B           ,false
molestie sed         ,79   ,$5.63B          ,$1.04B          ,n/a             ,$638.92M        ,$121.54M        ,$3.1B           ,$63.95M         ,$31.49B         ,$106.49M        ,                 ,true
enim lorem           ,38   ,n/a             ,n/a             ,$59.42B         ,$10.46M         ,$776.55M        ,$85.75M         ,$38.19M         ,$3.66B          ,$803.3M         ,$17.97B          ,false
augue vestibulum     ,93   ,$441.26M        ,$138.19M        ,$87.9M          ,$21.07M         ,$1.95M          ,$1.53B          ,$25.61M         ,$78.61M         ,n/a             ,$1.23B           ,false
et                   ,55   ,$4.97B          ,$126.39M        ,$333.23M        ,$262.86M        ,$1.06B          ,$19.12B         ,n/a             ,n/a             ,$34.1M          ,$271.82M         ,false
est donec            ,42   ,$295.28M        ,$6.79M          ,$180.9M         ,$2.28B          ,$394.9M         ,                ,$809.46M        ,$768.07M        ,$1.15B          ,$200.83M         ,false
at ipsum             ,19   ,$3.79B          ,$1.75B          ,$22.46M         ,$41.27B         ,$1.84B          ,$209.5M         ,$89.13M         ,$3.33M          ,$10.29B         ,$2.36B           ,false
lobortis ligula      ,24   ,$1.09B          ,$1.97B          ,$4.08B          ,$25.18B         ,n/a             ,n/a             ,$32.96B         ,$3.92B          ,$1.03B          ,$252.5M          ,false
porttitor            ,34   ,$858.79M        ,$25.34B         ,$308.11M        ,n/a             ,$305.91M        ,$219.23M        ,$4.51B          ,$37.26B         ,$62.59M         ,$2.15B           ,true
sit                  ,19   ,$47.36M         ,$484.51M        ,$15.38M         ,$29.97M         ,$1.48B          ,$6.56B          ,n/a             ,$23.69B         ,n/a             ,$4.61B           ,true
auctor               ,24   ,$68.75M         ,n/a             ,$1.35B          ,$11.67B         ,$287.82M        ,$3.63B          ,$44.42M         ,$98.94M         ,$636.41M        ,$1.2B            ,false
sit amet             ,17   ,$3.23M          ,$1.8B           ,$883.38M        ,$1.4B           ,$200.99M        ,$308.09M        ,$678.58M        ,$65.99M         ,n/a             ,$2.63M           ,false
vestibulum ante      ,92   ,$56.64B         ,n/a             ,$6.01B          ,n/a             ,$324.86M        ,$2.54B          ,$211.52M        ,$3.99B          ,n/a             ,$1.54B           ,true
quisque              ,49   ,n/a             ,$458.45M        ,$324.21M        ,n/a             ,$2.35B          ,n/a             ,$22.24M         ,$1.84B          ,$8.14B          ,$22.49B          ,false
curae nulla          ,98   ,n/a             ,$4.21B          ,$6.87B          ,$581.4M         ,$4.9M           ,n/a             ,$97.01M         ,$165.71M        ,$426.47M        ,$102.6M          ,false
velit id             ,82   ,n/a             ,$483.16M        ,$1.69B          ,n/a             ,$1.8B           ,$1.26B          ,$6.96B          ,$104.39M        ,$2.41M          ,$52.7B           ,true
ultrices mattis      ,76   ,$1.36B          ,n/a             ,$6.29M          ,$1.56B          ,$208.04M        ,$6.7B           ,$226.82M        ,$658.69M        ,$7.81B          ,$8.42B           ,true
congue elementum     ,90   ,$983.79M        ,$24.6B          ,n/a             ,$1.6B           ,$178.04M        ,$13.87B         ,$61.12M         ,$1.67B          ,$733.65M        ,$4.54B           ,false
erat                 ,14   ,$5.56B          ,$12.87B         ,$3.49M          ,$3.4B           ,$19.89B         ,                ,$303.71M        ,$745.32M        ,$58.87M         ,$509.01M         ,false
orci                 ,87   ,$8.39B          ,$5.53B          ,$795.23M        ,$520.01M        ,$7.84B          ,n/a             ,$356.04M        ,n/a             ,$33.03B         ,$386.6M          ,false
blandit lacinia      ,16   ,$549.18M        ,$9.03B          ,$142.56M        ,$741.39M        ,$1.26B          ,$1.47B          ,$18.34M         ,n/a             ,$95.92M         ,$347.43M         ,true
diam nam             ,21   ,n/a             ,$145.93M        ,$406.47M        ,$129.26M        ,$3.68B          ,$685.07M        ,$92.42M         ,$59.69M         ,$236.63M        ,$15.97M          ,true
lorem quisque        ,76   ,n/a             ,$5B             ,$3.11B          ,n/a             ,$2.3B           ,$121.38M        ,$61.61M         ,$8.17M          ,$6B             ,$205.6M          ,false
eget vulputate       ,58   ,$409.22M        ,$4.39B          ,$1.16B          ,$18.42B         ,$184.47M        ,n/a             ,$8.75B          ,$74.88M         ,$137.3M         ,n/a              ,false
dui                  ,55   ,$81.37B         ,n/a             ,$4.9M           ,$4.86B          ,n/a             ,$56.28B         ,$2.78B          ,$115.54M        ,$4.34B          ,$63.88M          ,true
ante                 ,5    ,$9.37B          ,$362.28M        ,$380.1M         ,$9.15B          ,n/a             ,n/a             ,n/a             ,$8.92B          ,$35.54M         ,                 ,true
ligula pellentesque  ,84   ,$193.55M        ,$425.18M        ,$234.26M        ,$147.55M        ,$3B             ,$3.27B          ,$405.38M        ,$2.62B          ,$386.9M         ,$4.46M           ,true
curae nulla          ,74   ,$9.01M          ,$155.64M        ,$17.26B         ,$228.16M        ,$16.12M         ,                ,$49.8M          ,$198.16M        ,$2.9B           ,$86.11M          ,false
felis eu             ,29   ,$896.08M        ,$190.99M        ,$147.96M        ,n/a             ,$2.19B          ,$200M           ,$3.76B          ,$518.61M        ,$7.36B          ,$5.5B            ,false
